Card_Number,Time,Amount,Transaction_Type,Geo_Location,Merchant_Category,Is_International,Is_Recurring,Velocity,User_History_Score,Transaction_Hour,Location_Mismatch,Bot_Activity_Flag,Fraud_Risk_Score,Class
637469267437,14,225.2,0,0,2,1,1,2,0.17,14,1,0,37.07,0
725417514095,18,594.68,3,2,0,1,0,8,0.17,18,1,1,50.0,0
809263824264,7,558.22,1,2,4,1,0,7,0.29,7,1,0,50.0,0
861381989413,0,408.28,3,3,3,0,0,9,0.47,0,1,1,50.0,0
672031731559,20,492.54,1,2,2,1,1,6,0.82,20,0,0,50.0,0
351919376874,1,566.93,2,1,1,0,1,7,0.45,1,0,0,50.0,1
147988086870,16,388.83,0,0,2,0,1,9,0.9,16,0,1,46.28,1
772072204969,6,363.84,0,0,2,0,1,7,0.12,6,1,0,44.04,1
868710667427,9,764.45,0,2,2,1,1,9,0.27,9,0,1,50.0,0
520242049668,14,160.23,0,2,4,0,1,8,0.07,14,0,1,28.92,1
992603346636,9,381.67,3,0,1,1,0,5,0.51,9,1,0,50.0,0
251984539686,10,688.34,0,2,2,1,0,7,0.09,10,1,0,50.0,1
8838265784,19,287.9,1,3,3,1,1,7,0.8,19,1,0,41.52,0
29757830093,3,615.05,1,2,1,0,1,1,0.04,3,1,0,50.0,1
612040700115,5,371.95,0,2,0,1,0,4,0.48,5,0,0,46.15,0
640021495636,19,858.97,0,3,3,0,1,5,0.42,19,1,0,50.0,0
705743155085,4,414.99,3,3,0,1,1,6,0.2,4,1,0,50.0,0
233292236380,15,306.56,3,3,2,1,1,7,0.59,15,0,0,31.23,0
761708816926,18,577.09,1,0,4,0,0,5,0.39,18,0,0,50.0,0
983010446882,18,222.09,1,2,2,1,1,2,0.2,18,1,0,34.6,0
223757073073,3,817.74,2,3,2,1,0,5,0.83,3,0,0,50.0,0
573282811152,13,712.03,1,3,0,0,1,5,0.66,13,1,0,50.0,0
830304377620,7,793.46,2,0,2,0,0,7,0.01,7,1,0,50.0,0
25655525714,21,458.99,0,1,3,0,1,3,0.5,21,1,0,50.0,0
4232004528,15,851.5,0,2,4,0,1,1,0.27,15,1,0,50.0,0
470420346021,15,544.19,0,1,0,0,0,6,0.92,15,1,0,50.0,0
895927715619,7,185.23,1,1,1,1,0,7,0.73,7,0,0,28.1,0
190708569692,15,301.63,1,3,2,1,0,8,0.61,15,0,1,50.0,0
187968330726,11,739.95,0,0,0,0,1,7,0.09,11,0,0,50.0,0
116528959950,11,906.78,3,2,2,0,1,7,0.93,11,0,0,50.0,0
395540744635,7,185.67,0,2,2,1,0,7,0.14,7,0,0,24.14,0
326731920729,21,877.79,2,2,0,0,0,1,0.45,21,1,0,50.0,0
694946840990,21,819.16,3,1,3,1,1,9,0.68,21,1,1,50.0,0
158740645629,5,420.9,3,4,1,0,0,9,0.49,5,1,1,50.0,0
245840349946,5,720.35,1,0,2,1,0,7,0.88,5,0,0,50.0,0
304699543139,11,268.26,1,4,3,1,1,9,0.84,11,0,1,31.97,0
929074376103,22,832.05,2,1,2,0,0,4,0.14,22,0,0,50.0,1
712002420079,20,691.61,0,3,2,0,1,7,0.62,20,0,0,50.0,0
121260979991,7,494.95,0,4,3,1,0,2,0.05,7,1,0,50.0,0
286394173848,7,878.07,1,4,2,1,0,6,0.72,7,1,0,50.0,0
394872023106,19,225.31,1,0,1,0,0,2,0.74,19,0,0,26.54,0
764066828003,22,861.21,0,1,0,0,0,3,0.34,22,0,0,50.0,0
852038286329,21,121.5,3,0,3,1,1,1,0.79,21,1,0,18.82,0
442834346864,17,777.88,2,3,4,1,0,7,0.65,17,0,0,50.0,1
996942618990,10,616.03,2,2,2,1,0,2,0.5,10,1,0,50.0,0
567981914452,18,727.05,2,1,0,0,0,3,0.46,18,0,0,50.0,0
705306833525,5,471.11,1,3,1,0,0,1,0.11,5,0,0,41.61,0
699262193786,4,878.0,3,3,1,0,0,3,0.53,4,0,0,50.0,0
28087054594,4,381.83,2,4,4,0,1,4,0.16,4,0,0,37.2,0
544322381800,12,347.46,3,0,1,0,1,7,0.66,12,0,0,43.64,0
455268975747,9,371.58,1,4,0,1,1,6,0.59,9,0,0,40.41,1
939791483508,0,796.93,1,4,4,1,0,1,0.29,0,1,0,50.0,0
